 [INFO] 2016-05-14 19:07:52,907 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:52,996 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.089s]
 [INFO] 2016-05-14 19:07:53,096 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.100s]
 [INFO] 2016-05-14 19:07:53,190 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.094s]
 [INFO] 2016-05-14 19:07:53,271 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.081s]
 [INFO] 2016-05-14 19:07:53,373 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.032s]
 [INFO] 2016-05-14 19:07:53,404 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.031s]
 [INFO] 2016-05-14 19:07:53,438 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:53,523 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:53,565 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:53,607 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:53,647 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.040s]
 [INFO] 2016-05-14 19:07:53,805 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.042s]
 [INFO] 2016-05-14 19:07:53,896 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:53,938 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:53,974 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:07:54,013 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.038s]
 [INFO] 2016-05-14 19:07:54,063 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.050s]
 [INFO] 2016-05-14 19:07:54,099 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.034s]
 [INFO] 2016-05-14 19:07:54,138 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:54,232 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.093s]
 [INFO] 2016-05-14 19:07:54,272 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:54,371 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.099s]
 [INFO] 2016-05-14 19:07:54,471 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.099s]
 [INFO] 2016-05-14 19:07:54,615 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.144s]
 [INFO] 2016-05-14 19:07:54,754 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.139s]
 [INFO] 2016-05-14 19:07:54,888 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.133s]
 [INFO] 2016-05-14 19:07:54,963 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.075s]
 [INFO] 2016-05-14 19:07:55,038 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.075s]
 [INFO] 2016-05-14 19:07:55,371 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.069s]
 [INFO] 2016-05-14 19:07:55,413 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:55,448 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:07:55,488 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:55,523 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:07:55,557 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.034s]
 [INFO] 2016-05-14 19:07:55,607 POST http://127.0.0.1:9200/forensic_db/file-system-metadata [status:201 request:0.049s]
 [INFO] 2016-05-14 19:07:55,898 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:55,988 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.089s]
 [INFO] 2016-05-14 19:07:56,121 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.133s]
 [INFO] 2016-05-14 19:07:56,207 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:56,288 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.081s]
 [INFO] 2016-05-14 19:07:56,324 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.036s]
 [INFO] 2016-05-14 19:07:56,407 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:56,496 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.088s]
 [INFO] 2016-05-14 19:07:56,588 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:56,674 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:56,774 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.099s]
 [INFO] 2016-05-14 19:07:56,857 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:56,946 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.089s]
 [INFO] 2016-05-14 19:07:56,988 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:57,032 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.044s]
 [INFO] 2016-05-14 19:07:57,180 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.147s]
 [INFO] 2016-05-14 19:07:57,271 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:57,365 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.094s]
 [INFO] 2016-05-14 19:07:57,457 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:57,546 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.089s]
 [INFO] 2016-05-14 19:07:57,638 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:57,730 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:57,815 POST http://127.0.0.1:9200/forensic_db/mails [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:57,924 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:57,965 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.040s]
 [INFO] 2016-05-14 19:07:58,005 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:58,046 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:58,090 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.043s]
 [INFO] 2016-05-14 19:07:58,132 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:58,171 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:58,213 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:58,299 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.085s]
 [INFO] 2016-05-14 19:07:58,330 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.031s]
 [INFO] 2016-05-14 19:07:58,371 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:58,405 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:58,488 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:58,532 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.043s]
 [INFO] 2016-05-14 19:07:58,563 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.031s]
 [INFO] 2016-05-14 19:07:58,605 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:58,649 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.044s]
 [INFO] 2016-05-14 19:07:58,688 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:58,730 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:58,821 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:58,863 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:58,896 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:07:59,049 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.040s]
 [INFO] 2016-05-14 19:07:59,090 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:59,132 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:07:59,165 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.032s]
 [INFO] 2016-05-14 19:07:59,205 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:07:59,296 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:59,338 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.042s]
 [INFO] 2016-05-14 19:07:59,380 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
